,num_gold,num_gold_correct,num_questions,demog-age,demog-gender,demog-race,job,region,demog-educ,demog-sexual,identification-fake-1,identification-fake-2,identification-fake-3,identification-fake-4,identification-real-1,identification-real-2,identification-real-3,identification-real-4,pct_gold_correct
public.us-east-1.APQXZF7GKNTC,9,9,25,,,,west-2-split-1-rep-4,west-2,,,,,,,,,,,1.0
public.us-east-1.A12KQGDA5YYCW7,20,9,52,,,,west-2-split-1-rep-4,west-2,,,,,,,,,,,0.45
public.us-east-1.A1K7FKUQ1EHVAZ,25,14,68,,,,west-2-split-1-rep-4,west-2,,,,,,,,,,,0.56
public.us-east-1.A3U5FZX51JBFQW,14,6,41,,,,west-2-split-1-rep-4,west-2,,,,,,,,,,,0.42857142857142855
public.us-east-1.A1JDPMVFB8HNMH,17,7,49,,,,west-2-split-1-rep-4,west-2,,,,,,,,,,,0.4117647058823529
public.us-east-1.A10Q1TJDW26M30,16,8,37,,,,west-2-split-1-rep-4,west-2,,,,,,,,,,,0.5
public.us-east-1.A19BG3DNCB8371,13,2,33,,,,west-2-split-1-rep-4,west-2,,,,,,,,,,,0.15384615384615385
public.us-east-1.A2BL85FF81CS3,20,12,46,,,,west-2-split-1-rep-4,west-2,,,,,,,,,,,0.6
public.us-east-1.A2BC5O377KEL6N,16,0,46,31-40 years old,Female,White,west-2-split-1-rep-4,west-2,,,,,,,,,,,0.0
public.us-east-1.A6MCR5VWBFWZT,5,3,16,,,,west-2-split-1-rep-4,west-2,,,,,,,,,,,0.6
public.us-east-1.A1NN61ZAXV9FR0,17,2,52,,,,west-2-split-1-rep-4,west-2,,,,,,,,,,,0.11764705882352941
public.us-east-1.A3AAJIOULPV12E,11,2,35,,,,west-2-split-1-rep-4,west-2,,,,,,,,,,,0.18181818181818182
public.us-east-1.A2ATPVV665TR66,19,7,51,,,,west-2-split-1-rep-4,west-2,,,,,,,,,,,0.3684210526315789
public.us-east-1.A28LVKN22K756,11,7,29,,,,west-2-split-1-rep-4,west-2,,,,,,,,,,,0.6363636363636364
public.us-east-1.A245B3Q3BILZCL,3,2,9,,,,west-2-split-1-rep-4,west-2,,,,,,,,,,,0.6666666666666666
public.us-east-1.A2Q99XBBVXFPG7,4,4,5,,,,west-2-split-1-rep-4,west-2,,,,,,,,,,,1.0
public.us-east-1.A47LXYTWFIB6F,0,0,1,,,,west-2-split-1-rep-4,west-2,,,,,,,,,,,0.0
public.us-east-1.A15QVZHXJYWO31,0,0,5,,,,west-2-split-1-rep-4,west-2,,,,,,,,,,,0.0
public.us-east-1.A1PZNXUXSW2MH0,5,1,11,,,,west-2-split-1-rep-4,west-2,,,,,,,,,,,0.2
public.us-east-1.A1EAJF4MKAGHJE,0,0,1,,,,west-2-split-1-rep-4,west-2,,,,,,,,,,,0.0
public.us-east-1.A2BL85FF81CS3,22,4,57,,,,west-2-split-1-rep-3,west-2,,,,,,,,,,,0.18181818181818182
public.us-east-1.A34OH8N3GTAD4T,5,2,13,,,,west-2-split-1-rep-3,west-2,,,,,,,,,,,0.4
public.us-east-1.A1E7VDDO8OPXNG,6,2,14,,,,west-2-split-1-rep-3,west-2,,,,,,,,,,,0.3333333333333333
public.us-east-1.A3A189KXWG4FCC,22,3,51,,,,west-2-split-1-rep-3,west-2,,,,,,,,,,,0.13636363636363635
public.us-east-1.A178BXD4UBX932,4,1,10,,,,west-2-split-1-rep-3,west-2,,,,,,,,,,,0.25
public.us-east-1.A2ATPVV665TR66,18,5,40,,,,west-2-split-1-rep-3,west-2,,,,,,,,,,,0.2777777777777778
public.us-east-1.A19BG3DNCB8371,7,2,30,,,,west-2-split-1-rep-3,west-2,,,,,,,,,,,0.2857142857142857
public.us-east-1.A1K7FKUQ1EHVAZ,22,8,61,,,,west-2-split-1-rep-3,west-2,,,,,,,,,,,0.36363636363636365
public.us-east-1.A1JDPMVFB8HNMH,8,5,23,,,,west-2-split-1-rep-3,west-2,,,,,,,,,,,0.625
public.us-east-1.AAISLVE5U7EPM,13,3,37,,,,west-2-split-1-rep-3,west-2,,,,,,,,,,,0.23076923076923078
public.us-east-1.A13R2JMVMPIF6H,3,0,7,,,,west-2-split-1-rep-3,west-2,,,,,,,,,,,0.0
public.us-east-1.AI91L9BSP6NBM,4,3,10,,,,west-2-split-1-rep-3,west-2,,,,,,,,,,,0.75
public.us-east-1.A26BQOPGB12IXD,8,1,21,,,,west-2-split-1-rep-3,west-2,,,,,,,,,,,0.125
public.us-east-1.A2BC5O377KEL6N,0,0,1,,,,west-2-split-1-rep-3,west-2,,,,,,,,,,,0.0
public.us-east-1.A3OUKGS8BDB2I4,8,0,18,,,,west-2-split-1-rep-3,west-2,,,,,,,,,,,0.0
public.us-east-1.A28LVKN22K756,7,5,24,,,,west-2-split-1-rep-3,west-2,,,,,,,,,,,0.7142857142857143
public.us-east-1.AEFBNJYPN71F9,9,2,32,,,,west-2-split-1-rep-3,west-2,,,,,,,,,,,0.2222222222222222
public.us-east-1.A2RAXDXAJ13EYX,4,1,12,,,,west-2-split-1-rep-3,west-2,,,,,,,,,,,0.25
public.us-east-1.A104XTKILKOFQ3,5,2,11,,,,west-2-split-1-rep-3,west-2,,,,,,,,,,,0.4
public.us-east-1.A2Q99XBBVXFPG7,5,4,19,,,,west-2-split-1-rep-3,west-2,,,,,,,,,,,0.8
public.us-east-1.A2U51LCR27DEAA,4,1,20,,,,west-2-split-1-rep-3,west-2,,,,,,,,,,,0.25
public.us-east-1.A1BLDWE3JYO1O,3,1,15,,,,west-2-split-1-rep-3,west-2,,,,,,,,,,,0.3333333333333333
public.us-east-1.ALJXFAPVR5NY0,6,4,21,,,,west-2-split-1-rep-3,west-2,,,,,,,,,,,0.6666666666666666
public.us-east-1.A2RRRIDXT8IC1Z,5,2,11,,,,west-2-split-1-rep-3,west-2,,,,,,,,,,,0.4
public.us-east-1.A1835WYUAG97F9,3,0,4,,,,west-2-split-1-rep-3,west-2,,,,,,,,,,,0.0
public.us-east-1.A1SCF3L6LTFQHF,1,1,2,,,,west-2-split-1-rep-3,west-2,,,,,,,,,,,1.0
public.us-east-1.A245B3Q3BILZCL,6,4,14,,,,west-2-split-1-rep-3,west-2,,,,,,,,,,,0.6666666666666666
public.us-east-1.A10Q1TJDW26M30,3,0,9,,,,west-2-split-1-rep-3,west-2,,,,,,,,,,,0.0
public.us-east-1.A12KQGDA5YYCW7,2,0,2,,,,west-2-split-1-rep-3,west-2,,,,,,,,,,,0.0
public.us-east-1.AO2PSM6P2W9P7,2,1,2,,,,west-2-split-1-rep-3,west-2,,,,,,,,,,,0.5
public.us-east-1.A47LXYTWFIB6F,0,0,1,,,,west-2-split-1-rep-3,west-2,,,,,,,,,,,0.0
public.us-east-1.A1MHUF6WJDR4A2,1,1,4,,,,west-2-split-1-rep-3,west-2,,,,,,,,,,,1.0
public.us-east-1.A1PZNXUXSW2MH0,2,1,6,,,,west-2-split-1-rep-3,west-2,,,,,,,,,,,0.5
public.us-east-1.A6MCR5VWBFWZT,4,2,6,,,,west-2-split-1-rep-3,west-2,,,,,,,,,,,0.5
public.us-east-1.A2HUKA5ICTMDMZ,1,0,1,,,,west-2-split-1-rep-3,west-2,,,,,,,,,,,0.0
public.us-east-1.A2WSWG9IQ0ZOC8,0,0,1,,,,west-2-split-1-rep-3,west-2,,,,,,,,,,,0.0
